"test_id","source_row","test_category","question","expected_query_class","actual_query_class","query_class_status","expected_domains","actual_primary_domain","domain_pass","expected_intent","actual_intent","intent_pass","expected_entities","actual_entities","entity_pass","missing_entities","mismatched_entities","unexpected_entities","unexpected_validated_band_code","expected_research","actual_research","research_pass","expected_clarification","actual_clarification","clarification_pass","latency_ms","failure_class","overall_pass"
"34","36","inspection","Wat heeft op lijn GSL de hoogste onderhoudsprioriteit?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","maintenance_priority","maintenance_priority","True","lijn_code=GSL","{""lijn_code"":""gsl"",""scope_code"":""gsl"",""scope_type"":""area"",""area_code"":""gsl""}","False","","","scope_code; scope_type; area_code","False","False","False","True","False","False","True","2338,4","ENTITY_MISMATCH","False"
"35","37","inspection","Toon de laatste inspecties van GSL.","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","inspection_latest","inspection_latest","True","lijn_code=GSL","{""scope_code"":""gsl"",""scope_type"":""area"",""area_code"":""gsl""}","False","lijn_code","","scope_code; scope_type; area_code","False","False","False","True","False","False","True","1719,9","ENTITY_MISMATCH","False"
"36","38","inspection","Hoe ontwikkelt de slijtage zich op lijn GSL?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","inspection_trend","inspection_trend","True","lijn_code=GSL","{""lijn_code"":""gsl"",""scope_code"":""gsl"",""scope_type"":""area"",""area_code"":""gsl""}","False","","","scope_code; scope_type; area_code","False","False","False","True","False","False","True","2586,8","ENTITY_MISMATCH","False"
"37","39","inspection","Wat is de meshoogte west op A319?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","inspection_lookup","inspection_lookup","True","band_code=A319|side=WEST","{""band_code"":""a319"",""lijn_code"":""a319""}","False","side","","lijn_code","False","False","False","True","False","False","True","1326","ENTITY_MISMATCH","False"
"38","40","inspection","Wanneer moet de schraper van A319 vervangen worden?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","maintenance_priority","inspection_lookup","False","band_code=A319","{""band_code"":""a319""}","True","","","","False","False","False","True","False","False","True","1321,5","INTENT_MISMATCH","False"
"39","41","inspection","Wat is de forecast voor A319?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","","False","inspection_trend","unknown","False","band_code=A319","{""band_code"":""a319""}","True","","","","False","False","False","True","False","True","False","4,3","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"40","42","inspection","Maak een volledige analyse van A319 met trend, opmerkingen en vervangingen.","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","inspection_trend","inspection_trend","True","band_code=A319","{""band_code"":""a319""}","True","","","","False","True","False","False","False","False","True","340,8","RESEARCH_MISMATCH","False"
"43","46","technical","Geef de formule voor het motorvermogen van een transportband.","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","5","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"44","47","Htechnical","Hoe bepaal je de minimale trommeldiameter?","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,2","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"45","48","technical","Hoe bereken ik het koppel op een aandrijftrommel?","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,6","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"46","49","technical","Waar moet ik op letten bij lagerkeuze voor een keertrommel?","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,5","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"48","51","technical","Bereken de capaciteit van een band van 1200 mm bij 2,5 m/s.","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","belt_width_mm=1200","{}","False","belt_width_mm","","","False","False","False","True","False","True","False","3,7","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"51","54","technical","Bereken het benodigde motorvermogen bij 500 tph.","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","True","True","True","3,7","DOMAIN_MISMATCH;INTENT_MISMATCH","False"
"52","55","technical","Wat zijn de verschillen tussen CEMA en DIN voor transportbandontwerp?","BUSINESS","","NOT_AVAILABLE","[""technical""]","technical","True","technical_lookup","technical_lookup","True","-","{}","True","","","","False","True","False","False","False","False","True","419,5","RESEARCH_MISMATCH","False"
"53","56","technical","Wat doet temperatuur met de keuze van een transportband?","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,8","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"55","58","technical","Welke formule gebruik je voor effectieve bandtrekkracht?","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,6","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"56","59","technical","Welke technische eisen gelden voor trommelbekleding?","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,3","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"57","60","technical","Wat betekent TIR bij een trommel?","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","3,7","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"58","61","technical","Wat betekent ISO 1940 voor balancering van trommels?","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","5,2","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"59","62","technical","Vergelijk de CEMA- en Dunlop-methode voor deze berekening.","BUSINESS","","NOT_AVAILABLE","[""technical""]","technical","True","technical_lookup","technical_lookup","True","-","{}","True","","","","False","True","False","False","False","False","True","383,4","RESEARCH_MISMATCH","False"
"60","63","technical","Maak een diepgaande analyse van het benodigde motorvermogen en vergelijk de beschikbare technische bronnen.","BUSINESS","","NOT_AVAILABLE","[""technical""]","","False","technical_lookup","unknown","False","-","{}","True","","","","False","True","False","False","False","True","False","5","DOMAIN_MISMATCH;INTENT_MISMATCH;RESEARCH_MISMATCH;CLARIFICATION_MISMATCH","False"
"61","65","org","Wie is verantwoordelijk voor wifi in Breda?","BUSINESS","","NOT_AVAILABLE","[""org""]","org","True","org_lookup","org_lookup","True","locatie=Breda","{}","False","locatie","","","False","False","False","True","False","False","True","15,5","ENTITY_MISMATCH","False"
"62","66","org","De printer in Maldegem werkt niet, wie kan helpen?","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","locatie=Maldegem","{}","False","locatie","","","False","False","False","True","False","True","False","5","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"63","67","org","Wie is BHV-verantwoordelijke in Breda?","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","locatie=Breda","{}","False","locatie","","","False","False","False","True","False","True","False","4,3","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"64","68","org","Bij wie moet ik mij ziekmelden?","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","5,5","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"65","69","org","Wie doet Odoo-support?","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,7","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"66","70","org","Wat is het telefoonnummer van Promati Breda?","BUSINESS","","NOT_AVAILABLE","[""org""]","org","True","org_lookup","org_lookup","True","locatie=Breda","{}","False","locatie","","","False","False","False","True","False","False","True","12,7","ENTITY_MISMATCH","False"
"67","71","org","Wat is het adres van Promati Maldegem?","BUSINESS","","NOT_AVAILABLE","[""org""]","org","True","org_lookup","org_lookup","True","locatie=Maldegem","{}","False","locatie","","","False","False","False","True","False","False","True","10,4","ENTITY_MISMATCH","False"
"68","72","org","Wat zijn de openingstijden van Promati Breda?","BUSINESS","","NOT_AVAILABLE","[""org""]","org","True","org_lookup","org_lookup","True","locatie=Breda","{}","False","locatie","","","False","False","False","True","False","False","True","10,8","ENTITY_MISMATCH","False"
"70","74","org","Wat zijn de kerntaken van een technicus?","BUSINESS","","NOT_AVAILABLE","[""org""]","org","True","org_lookup","org_lookup","True","functie=technicus","{}","False","functie","","","False","False","False","True","False","False","True","12,3","ENTITY_MISMATCH","False"
"71","75","org","Welke bevoegdheden heeft de VCA-coördinator?","BUSINESS","","NOT_AVAILABLE","[""org""]","org","True","org_lookup","org_lookup","True","functie=VCA-coordinator","{}","False","functie","","","False","False","False","True","False","False","True","13,9","ENTITY_MISMATCH","False"
"73","77","org","Wie is de contactpersoon voor aankoop?","BUSINESS","","NOT_AVAILABLE","[""org""]","org","True","org_lookup","org_lookup","True","afdeling=aankoop","{}","False","afdeling","","","False","False","False","True","False","False","True","13","ENTITY_MISMATCH","False"
"74","78","org","Wie is manager van de serviceafdeling?","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","afdeling=service","{}","False","afdeling","","","False","False","False","True","False","True","False","3,6","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"75","79","org","Bij wie moet ik zijn voor laptoptoegang?","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,1","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"76","80","org","Wie beheert de magazijnsleutels?","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,7","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"77","81","org","Wie moet ik bellen bij een internetstoring?","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","3,8","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"78","82","org","Wie behandelt leverancierscontacten binnen Promati?","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","5,1","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"80","84","org","Vergelijk de verantwoordelijkheden in Breda en Maldegem.","BUSINESS","","NOT_AVAILABLE","[""org""]","","False","org_lookup","unknown","False","comparison_scope=Breda,Maldegem","{}","False","comparison_scope","","","False","False","False","True","True","True","True","4,6","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH","False"
"81","86","rfq","Zoek RFQ RFQ-2026-001.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_lookup","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","3,9","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"82","87","rfq","Wat is de status van RFQ RFQ-2026-001?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_status","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4,6","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"83","88","rfq","Is RFQ RFQ-2026-001 klaar om naar de leverancier te sturen?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_readiness","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4,3","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"84","89","rfq","Welke risico's zitten in RFQ RFQ-2026-001?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_risk","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4,2","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"85","90","rfq","Geef de engineering review van RFQ RFQ-2026-001.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_engineering_review","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"86","91","rfq","Toon de timeline van RFQ RFQ-2026-001.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_timeline","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","3,6","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"87","92","rfq","Welke leveranciercontext is er bij RFQ RFQ-2026-001?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_supplier_context","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4,8","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"88","93","rfq","Toon positie 3 van RFQ RFQ-2026-001.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_position_lookup","unknown","False","rfq_id=RFQ-2026-001|position_id=3","{}","False","rfq_id; position_id","","","False","False","False","True","False","True","False","4,2","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"89","94","rfq","Zoek vergelijkbare RFQ's voor deze trommel.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_lookup","unknown","False","-","{}","True","","","","False","False","False","True","True","True","True","3,7","DOMAIN_MISMATCH;INTENT_MISMATCH","False"
"90","95","rfq","Vergelijk RFQ RFQ-2026-001 met RFQ RFQ-2026-002.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_compare","unknown","False","rfq_ids=RFQ-2026-001,RFQ-2026-002","{}","False","rfq_ids","","","False","True","False","False","False","True","False","4,7","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;RESEARCH_MISMATCH;CLARIFICATION_MISMATCH","False"
"91","96","rfq","Welk lagertype staat bij positie 2 van RFQ RFQ-2026-001?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_position_lookup","unknown","False","rfq_id=RFQ-2026-001|position_id=2","{}","False","rfq_id; position_id","","","False","False","False","True","False","True","False","5,4","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"92","97","rfq","Welk rubbermateriaal is opgegeven in RFQ RFQ-2026-001?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_lookup","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4,2","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"93","98","rfq","Welke specificaties ontbreken nog in RFQ RFQ-2026-001?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_readiness","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4,5","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"94","99","rfq","Welke documenten zitten aan RFQ RFQ-2026-001?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_lookup","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4,5","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"95","100","rfq","Wat is uit de tekening van positie 1 gehaald?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_position_lookup","unknown","False","position_id=1","{}","False","position_id","","","False","False","False","True","True","True","True","4,4","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH","False"
"96","101","rfq","Welke levertijd en prijs heeft de leverancier voor RFQ RFQ-2026-001 opgegeven?","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_supplier_context","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4,3","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"97","102","rfq","Geef mij de PDF-link van RFQ RFQ-2026-001 in het Duits.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_pdf_link","unknown","False","rfq_id=RFQ-2026-001|language=de","{}","False","rfq_id; language","","","False","False","False","True","False","True","False","4,6","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"98","103","rfq","Maak een nieuwe RFQ voor een aandrijftrommel.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_write_request","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","4,6","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"99","104","rfq","Verander de status van RFQ RFQ-2026-001 naar verzonden.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_write_request","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","4,1","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"100","105","rfq","Verwijder RFQ RFQ-2026-001.","BUSINESS","","NOT_AVAILABLE","[""rfq""]","","False","rfq_write_request","unknown","False","rfq_id=RFQ-2026-001","{}","False","rfq_id","","","False","False","False","True","False","True","False","3,9","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"101","107","diagnostics","Geef een systeemdiagnose.","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","diagnostics","True","diagnostics_overview","diagnostics_overview","True","diagnostics_domain=system","{""diagnostics_domain"":""database""}","False","","diagnostics_domain: expected=system, actual=database","","False","False","False","True","False","False","True","8,5","ENTITY_MISMATCH","False"
"104","110","diagnostics","Controleer de health van vw_meshoogte_latest_per_scraper_clean.","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","diagnostics","True","diagnostics_view_health","diagnostics_overview","False","diagnostics_object=vw_meshoogte_latest_per_scraper_clean","{""diagnostics_objects"":""vw_meshoogte_latest_per_scraper_clean""}","False","diagnostics_object","","diagnostics_objects","False","False","False","True","False","False","True","111,1","INTENT_MISMATCH;ENTITY_MISMATCH","False"
"105","111","diagnostics","Welke dependencies heeft vw_mes_cycle_analysis_clean?","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","diagnostics","True","diagnostics_view_dependencies","diagnostics_view_dependencies","True","diagnostics_object=vw_mes_cycle_analysis_clean","{""diagnostics_objects"":""vw_mes_cycle_analysis_clean""}","False","diagnostics_object","","diagnostics_objects","False","False","False","True","False","False","True","15,9","ENTITY_MISMATCH","False"
"106","112","diagnostics","Diagnoseer de inspectiepipeline.","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","diagnostics","True","diagnostics_inspection_pipeline","diagnostics_overview","False","diagnostics_domain=inspections","{""diagnostics_domain"":""inspections""}","True","","","","False","False","False","True","False","False","True","111,3","INTENT_MISMATCH","False"
"108","114","diagnostics","Controleer de gezondheid van het assetmodel.","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","","False","diagnostics_asset_model_health","unknown","False","diagnostics_domain=inspections","{}","False","diagnostics_domain","","","False","False","False","True","False","True","False","3,3","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"109","115","diagnostics","Vergelijk RAG, API en SQL voor de productketen.","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","diagnostics","True","diagnostics_cross_source","diagnostics_cross_source","True","diagnostics_domain=products","{""diagnostics_domain"":""products""}","True","","","","False","True","False","False","False","False","True","12,2","RESEARCH_MISMATCH","False"
"110","116","diagnostics","Controleer RAG, API en SQL voor de organisatieketen.","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","diagnostics","True","diagnostics_cross_source","diagnostics_cross_source","True","diagnostics_domain=org","{""diagnostics_domain"":""org""}","True","","","","False","True","False","False","False","False","True","21,7","RESEARCH_MISMATCH","False"
"111","117","diagnostics","Welke routes vallen onder HIGH_RISK_SQL?","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","diagnostics","True","diagnostics_overview","diagnostics_sql_deep_dive","False","diagnostics_domain=system","{""diagnostics_domain"":""system""}","True","","","","False","False","False","True","False","False","True","1840,8","INTENT_MISMATCH","False"
"112","118","diagnostics","Welke feature flags zijn momenteel geladen?","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","","False","diagnostics_overview","unknown","False","diagnostics_domain=system","{}","False","diagnostics_domain","","","False","False","False","True","False","True","False","4,6","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"113","119","diagnostics","Ontbreekt een van de verplichte kernroutes?","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","","False","diagnostics_overview","unknown","False","diagnostics_domain=system","{}","False","diagnostics_domain","","","False","False","False","True","False","True","False","3,9","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"114","120","diagnostics","Controleer de view definition van vw_band_scraper_api_v1.","SYSTEM_META","","NOT_AVAILABLE","[""diagnostics""]","diagnostics","True","diagnostics_view_definition","diagnostics_view_definition","True","diagnostics_object=vw_band_scraper_api_v1","{""diagnostics_objects"":""vw_band_scraper_api_v1""}","False","diagnostics_object","","diagnostics_objects","False","False","False","True","False","False","True","10,4","ENTITY_MISMATCH","False"
