"category","entity","expected","question","raw_contract","test_id"
"research","diagnostics_domain","system","Onderzoek waarom complexe vragen geen OpenAI-call veroorzaken.","diagnostics_domain=system","139"
"false_positive","lijn_code","HOO6","Toon onderhoud voor HOO6.","lijn_code=HOO6|NO_band_code","155"
"meta","diagnostics_domain","system","Welke specialisten kent het platform?","diagnostics_domain=system","163"
"meta","diagnostics_domain","system","Hoeveel routes heeft de backend?","diagnostics_domain=system","164"
"meta","diagnostics_domain","system","Welke GPT Actions zijn beschikbaar?","diagnostics_domain=system","165"
"meta","diagnostics_domain","system","Waarom wordt OpenAI niet gebruikt bij complexe vragen?","diagnostics_domain=system","166"
"meta","diagnostics_domain","system","Is de research-agent ingeschakeld?","diagnostics_domain=system","167"
"meta","diagnostics_domain","system","Welk OpenAI-model gebruikt research?","diagnostics_domain=system","168"
"meta","diagnostics_domain","system","Is de OpenAI-provider correct geconfigureerd?","diagnostics_domain=system","169"
"meta","diagnostics_domain","system","Waarom vraagt de router om clarification?","diagnostics_domain=system","172"
"clarification","comparison_scope_codes","Breda,Maldegem","Controleer Breda en Maldegem maar gebruik alleen ??n locatie.","comparison_scope=Breda,Maldegem","193"
"clarification","diagnostics_domain","inspections","Corrigeer alle oude mesmetingen die waarschijnlijk fout zijn.","diagnostics_domain=inspections","197"
"clarification","diagnostics_domain","inspections","Maak automatisch alle UNKNOWN lijncodes goed.","diagnostics_domain=inspections","198"
