"test_id","source_row","test_category","question","request_ok","request_attempts","latency_ms","request_error","expected_query_class","actual_query_class","query_class_score_status","query_class_pass","expected_domains","actual_primary_domain","actual_domains","domain_score_status","domain_pass","expected_intent","actual_intent","intent_score_status","intent_pass","expected_entities","actual_entities","entity_score_status","entity_pass","missing_entities","mismatched_entities","unexpected_entities","expected_research","actual_research","research_score_status","research_pass","expected_clarification","actual_clarification","clarification_score_status","clarification_pass","failure_class","overall_pass"
"11","12","product","Vergelijk TPH HD met TPH ND.","True","1","247,6","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","product_selection","product_selection","SCORED","True","family_codes=PROM-TPH-HD,PROM-TPH-ND","{""family_code"":""prom-tph-hd""}","SCORED","False","family_codes","","family_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"12","13","product","Welke RVS-uitvoeringen zijn er van BB-U 1800?","True","1","276,9","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","product_lookup","product_lookup","SCORED","True","family_code=BB-U|belt_width_mm=1800","{""family_code"":""bb-u"",""belt_width_mm"":""1800""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"13","14","product","Welke uitvoering van BB-U 1600 moet ik kiezen?","True","1","296,4","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","product_selection","product_selection","SCORED","True","family_code=BB-U|belt_width_mm=1600","{""family_code"":""bb-u"",""belt_width_mm"":""1600""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"14","15","product","Is BB-P 1000 beschikbaar?","True","1","248","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","inventory_lookup","inventory_lookup","SCORED","True","family_code=BB-P|belt_width_mm=1000","{""family_code"":""bb-p"",""belt_width_mm"":""1000""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"15","16","product","Wat zijn de kosten van BB-R 1200?","True","1","216,1","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","price_lookup","price_lookup","SCORED","True","family_code=BB-R|belt_width_mm=1200","{""family_code"":""bb-r"",""belt_width_mm"":""1200""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"16","17","product","Geef de voor- en nadelen van Proload.","True","1","2444,8","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","advantages_disadvantages","advantages_disadvantages","SCORED","True","family_code=PROLOAD","{""family_code"":""proload""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"17","18","product","Welke reserveonderdelen horen bij BB-U 1200?","True","1","255,7","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","product_lookup","product_lookup","SCORED","True","family_code=BB-U|belt_width_mm=1200","{""family_code"":""bb-u"",""belt_width_mm"":""1200""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"18","19","product","Welke complete systemen bestaan er voor BB-H 1800?","True","1","277,8","","BUSINESS","","NOT_AVAILABLE",,"[""product""]","product","product","SCORED","True","product_lookup","product_lookup","SCORED","True","family_code=BB-H|belt_width_mm=1800","{""family_code"":""bb-h"",""belt_width_mm"":""1800""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"19","20","product","Welke schraper adviseer je bij 2,5 m/s en nat materiaal?","True","1","4,4","","BUSINESS","","NOT_AVAILABLE",,"[""product"",""technical""]","","","NOT_AVAILABLE",,"product_selection","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","true","False","SCORED","False","false","True","SCORED","False","INTENT_MISMATCH;RESEARCH_MISMATCH;CLARIFICATION_MISMATCH","False"
"20","21","product","Vergelijk BB-U en BB-R voor kleverig materiaal en geef advies.","True","1","986,3","","BUSINESS","","NOT_AVAILABLE",,"[""product"",""technical""]","product","product","SCORED","True","product_selection","product_selection","SCORED","True","family_codes=BB-U,BB-R","{""family_code"":""bb-u""}","SCORED","False","family_codes","","family_code","true","False","SCORED","False","false","False","SCORED","True","ENTITY_MISMATCH;RESEARCH_MISMATCH","False"
"21","23","inspection","Wat was de laatste inspectie van band A319?","True","1","1480,2","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_latest","inspection_latest","SCORED","True","band_code=A319","{""band_code"":""a319""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"22","24","inspection","Wat is de actuele meshoogte op A319?","True","1","1282,1","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_latest","inspection_latest","SCORED","True","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","SCORED","False","","","lijn_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"23","25","inspection","Toon de historie van A319.","True","1","360,8","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_trend","inspection_trend","SCORED","True","band_code=A319","{""band_code"":""a319""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"24","26","inspection","Hoe verloopt de slijtage op A319?","True","1","399,9","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_trend","inspection_trend","SCORED","True","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","SCORED","False","","","lijn_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"25","27","inspection","Wat is de onderhoudsstatus van A319?","True","1","365,4","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","maintenance_priority","maintenance_priority","SCORED","True","band_code=A319","{""band_code"":""a319""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"26","28","inspection","Wat moet er vervangen worden op A319?","True","1","1556,7","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","maintenance_priority","inspection_lookup","SCORED","False","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","SCORED","False","","","lijn_code","false","False","SCORED","True","false","False","SCORED","True","INTENT_MISMATCH;ENTITY_MISMATCH","False"
"27","29","inspection","Geef een inspectieoverzicht van A319.","True","1","1331","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_lookup","inspection_lookup","SCORED","True","band_code=A319","{""band_code"":""a319""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"28","30","inspection","Wat zagen we de vorige keer op A319?","True","1","1496,4","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_latest","inspection_latest","SCORED","True","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","SCORED","False","","","lijn_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"29","31","inspection","Toon de slijtagetrend van de U 1200 west op A319.","True","1","431,2","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_trend","inspection_trend","SCORED","True","band_code=A319|scraper_type=U1200|side=WEST","{""band_code"":""a319"",""lijn_code"":""a319""}","SCORED","False","scraper_type; side","","lijn_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"30","32","inspection","Geef de lifecycle van A319.","True","1","4,6","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","","","NOT_AVAILABLE",,"inspection_trend","unknown","SCORED","False","band_code=A319","{""band_code"":""a319""}","SCORED","True","","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"31","33","inspection","Welke schrapers zitten actueel op A319?","True","1","4,4","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","","","NOT_AVAILABLE",,"inspection_latest","unknown","SCORED","False","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","SCORED","False","","","lijn_code","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"32","34","inspection","Hoe staat band A319 ervoor?","True","1","1402,4","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_lookup","inspection_lookup","SCORED","True","band_code=A319","{""band_code"":""a319""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"33","35","inspection","Welke banden hebben geen schrapers?","True","1","3,9","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","","","NOT_AVAILABLE",,"inspection_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"34","36","inspection","Wat heeft op lijn GSL de hoogste onderhoudsprioriteit?","True","1","2338,4","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","maintenance_priority","maintenance_priority","SCORED","True","lijn_code=GSL","{""lijn_code"":""gsl"",""scope_code"":""gsl"",""scope_type"":""area"",""area_code"":""gsl""}","SCORED","False","","","scope_code; scope_type; area_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"35","37","inspection","Toon de laatste inspecties van GSL.","True","1","1719,9","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_latest","inspection_latest","SCORED","True","lijn_code=GSL","{""scope_code"":""gsl"",""scope_type"":""area"",""area_code"":""gsl""}","SCORED","False","lijn_code","","scope_code; scope_type; area_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"36","38","inspection","Hoe ontwikkelt de slijtage zich op lijn GSL?","True","1","2586,8","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_trend","inspection_trend","SCORED","True","lijn_code=GSL","{""lijn_code"":""gsl"",""scope_code"":""gsl"",""scope_type"":""area"",""area_code"":""gsl""}","SCORED","False","","","scope_code; scope_type; area_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"37","39","inspection","Wat is de meshoogte west op A319?","True","1","1326","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_lookup","inspection_lookup","SCORED","True","band_code=A319|side=WEST","{""band_code"":""a319"",""lijn_code"":""a319""}","SCORED","False","side","","lijn_code","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"38","40","inspection","Wanneer moet de schraper van A319 vervangen worden?","True","1","1321,5","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","maintenance_priority","inspection_lookup","SCORED","False","band_code=A319","{""band_code"":""a319""}","SCORED","True","","","","false","False","SCORED","True","false","False","SCORED","True","INTENT_MISMATCH","False"
"39","41","inspection","Wat is de forecast voor A319?","True","1","4,3","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","","","NOT_AVAILABLE",,"inspection_trend","unknown","SCORED","False","band_code=A319","{""band_code"":""a319""}","SCORED","True","","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"40","42","inspection","Maak een volledige analyse van A319 met trend, opmerkingen en vervangingen.","True","1","340,8","","BUSINESS","","NOT_AVAILABLE",,"[""inspection""]","inspection","inspection","SCORED","True","inspection_trend","inspection_trend","SCORED","True","band_code=A319","{""band_code"":""a319""}","SCORED","True","","","","true","False","SCORED","False","false","False","SCORED","True","RESEARCH_MISMATCH","False"
"41","44","technical","Wat zegt CEMA over de capaciteit van een transportband?","True","1","477","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","technical","technical","SCORED","True","technical_lookup","technical_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"42","45","technical","Hoe bereken ik de bandsnelheid?","True","1","368,2","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","technical","technical","SCORED","True","technical_lookup","technical_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"43","46","technical","Geef de formule voor het motorvermogen van een transportband.","True","1","5","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"44","47","Htechnical","Hoe bepaal je de minimale trommeldiameter?","True","1","4,2","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"45","48","technical","Hoe bereken ik het koppel op een aandrijftrommel?","True","1","4,6","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"46","49","technical","Waar moet ik op letten bij lagerkeuze voor een keertrommel?","True","1","4,5","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"47","50","technical","Wat zegt CEMA over idler spacing?","True","1","454","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","technical","technical","SCORED","True","technical_lookup","technical_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"48","51","technical","Bereken de capaciteit van een band van 1200 mm bij 2,5 m/s.","True","1","3,7","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","belt_width_mm=1200","{}","SCORED","False","belt_width_mm","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"49","52","technical","Wat is het effect van een grotere trogrolhoek?","True","1","382,4","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","technical","technical","SCORED","True","technical_lookup","technical_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"50","53","technical","Hoe kies ik een trommeldiameter bij een bepaalde bandsterkte?","True","1","323,9","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","technical","technical","SCORED","True","technical_lookup","technical_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"51","54","technical","Bereken het benodigde motorvermogen bij 500 tph.","True","1","3,7","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","true","True","SCORED","True","INTENT_MISMATCH","False"
"52","55","technical","Wat zijn de verschillen tussen CEMA en DIN voor transportbandontwerp?","True","1","419,5","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","technical","technical","SCORED","True","technical_lookup","technical_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","true","False","SCORED","False","false","False","SCORED","True","RESEARCH_MISMATCH","False"
"53","56","technical","Wat doet temperatuur met de keuze van een transportband?","True","1","4,8","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"54","57","technical","Hoe bepaal je de benodigde bandsterkte?","True","1","348,1","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","technical","technical","SCORED","True","technical_lookup","technical_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"55","58","technical","Welke formule gebruik je voor effectieve bandtrekkracht?","True","1","4,6","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"56","59","technical","Welke technische eisen gelden voor trommelbekleding?","True","1","4,3","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"57","60","technical","Wat betekent TIR bij een trommel?","True","1","3,7","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"58","61","technical","Wat betekent ISO 1940 voor balancering van trommels?","True","1","5,2","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"59","62","technical","Vergelijk de CEMA- en Dunlop-methode voor deze berekening.","True","1","383,4","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","technical","technical","SCORED","True","technical_lookup","technical_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","true","False","SCORED","False","false","False","SCORED","True","RESEARCH_MISMATCH","False"
"60","63","technical","Maak een diepgaande analyse van het benodigde motorvermogen en vergelijk de beschikbare technische bronnen.","True","1","5","","BUSINESS","","NOT_AVAILABLE",,"[""technical""]","","","NOT_AVAILABLE",,"technical_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","true","False","SCORED","False","false","True","SCORED","False","INTENT_MISMATCH;RESEARCH_MISMATCH;CLARIFICATION_MISMATCH","False"
"61","65","org","Wie is verantwoordelijk voor wifi in Breda?","True","1","15,5","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","org","org","SCORED","True","org_lookup","org_lookup","SCORED","True","locatie=Breda","{}","SCORED","False","locatie","","","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"62","66","org","De printer in Maldegem werkt niet, wie kan helpen?","True","1","5","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","","","NOT_AVAILABLE",,"org_lookup","unknown","SCORED","False","locatie=Maldegem","{}","SCORED","False","locatie","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"63","67","org","Wie is BHV-verantwoordelijke in Breda?","True","1","4,3","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","","","NOT_AVAILABLE",,"org_lookup","unknown","SCORED","False","locatie=Breda","{}","SCORED","False","locatie","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"64","68","org","Bij wie moet ik mij ziekmelden?","True","1","5,5","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","","","NOT_AVAILABLE",,"org_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"65","69","org","Wie doet Odoo-support?","True","1","4,7","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","","","NOT_AVAILABLE",,"org_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"66","70","org","Wat is het telefoonnummer van Promati Breda?","True","1","12,7","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","org","org","SCORED","True","org_lookup","org_lookup","SCORED","True","locatie=Breda","{}","SCORED","False","locatie","","","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"67","71","org","Wat is het adres van Promati Maldegem?","True","1","10,4","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","org","org","SCORED","True","org_lookup","org_lookup","SCORED","True","locatie=Maldegem","{}","SCORED","False","locatie","","","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"68","72","org","Wat zijn de openingstijden van Promati Breda?","True","1","10,8","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","org","org","SCORED","True","org_lookup","org_lookup","SCORED","True","locatie=Breda","{}","SCORED","False","locatie","","","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"69","73","org","Toon het organigram van Promati.","True","1","13,4","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","org","org","SCORED","True","org_lookup","org_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"70","74","org","Wat zijn de kerntaken van een technicus?","True","1","12,3","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","org","org","SCORED","True","org_lookup","org_lookup","SCORED","True","functie=technicus","{}","SCORED","False","functie","","","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"71","75","org","Welke bevoegdheden heeft de VCA-coördinator?","True","1","13,9","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","org","org","SCORED","True","org_lookup","org_lookup","SCORED","True","functie=VCA-coordinator","{}","SCORED","False","functie","","","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"72","76","org","Wie is verantwoordelijk voor documentenbeheer?","True","1","11,6","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","org","org","SCORED","True","org_lookup","org_lookup","SCORED","True","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","False","SCORED","True","PASS","True"
"73","77","org","Wie is de contactpersoon voor aankoop?","True","1","13","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","org","org","SCORED","True","org_lookup","org_lookup","SCORED","True","afdeling=aankoop","{}","SCORED","False","afdeling","","","false","False","SCORED","True","false","False","SCORED","True","ENTITY_MISMATCH","False"
"74","78","org","Wie is manager van de serviceafdeling?","True","1","3,6","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","","","NOT_AVAILABLE",,"org_lookup","unknown","SCORED","False","afdeling=service","{}","SCORED","False","afdeling","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"75","79","org","Bij wie moet ik zijn voor laptoptoegang?","True","1","4,1","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","","","NOT_AVAILABLE",,"org_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"76","80","org","Wie beheert de magazijnsleutels?","True","1","4,7","","BUSINESS","","NOT_AVAILABLE",,"[""org""]","","","NOT_AVAILABLE",,"org_lookup","unknown","SCORED","False","-","{}","NOT_AVAILABLE",,"","","","false","False","SCORED","True","false","True","SCORED","False","INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
