"test_id","query_class","primary_domain","domains","intent","clarification_required","research_required","execution_step_count","execution_actions","entities_json","question"
"29","business","inspection","inspection","inspection_trend","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""lijn_code"":{""value"":""A319"",""source"":""explicit_context_code_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Toon de slijtagetrend van de U 1200 west op A319."
"30","business",,"","unknown","True","False","0","","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Geef de lifecycle van A319."
"31","business",,"","unknown","True","False","0","","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""lijn_code"":{""value"":""A319"",""source"":""explicit_context_code_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke schrapers zitten actueel op A319?"
"32","business","inspection","inspection","inspection_lookup","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""explicit_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Hoe staat band A319 ervoor?"
"33","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke banden hebben geen schrapers?"
"34","business","inspection","inspection","maintenance_priority","False","False","1","analysis_assistant","{""lijn_code"":{""value"":""GSL"",""source"":""explicit_line_pattern""},""scope_code"":{""value"":""GSL"",""source"":""vw_gpt_band_asset_context.area""},""scope_type"":{""value"":""area"",""source"":""scope_resolver""},""area_code"":{""value"":""GSL"",""source"":""scope_resolver""},""scope_context_mode"":{""value"":""context_roles"",""source"":""scope_context_roles""}}","Wat heeft op lijn GSL de hoogste onderhoudsprioriteit?"
"35","business","inspection","inspection","inspection_latest","False","False","1","analysis_assistant","{""scope_code"":{""value"":""GSL"",""source"":""vw_gpt_band_asset_context.area""},""scope_type"":{""value"":""area"",""source"":""scope_resolver""},""area_code"":{""value"":""GSL"",""source"":""scope_resolver""},""scope_context_mode"":{""value"":""context_roles"",""source"":""scope_context_roles""}}","Toon de laatste inspecties van GSL."
"36","business","inspection","inspection","inspection_trend","False","False","1","analysis_assistant","{""lijn_code"":{""value"":""GSL"",""source"":""explicit_line_pattern""},""scope_code"":{""value"":""GSL"",""source"":""vw_gpt_band_asset_context.area""},""scope_type"":{""value"":""area"",""source"":""scope_resolver""},""area_code"":{""value"":""GSL"",""source"":""scope_resolver""},""scope_context_mode"":{""value"":""context_roles"",""source"":""scope_context_roles""}}","Hoe ontwikkelt de slijtage zich op lijn GSL?"
"37","business","inspection","inspection","inspection_lookup","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""lijn_code"":{""value"":""A319"",""source"":""explicit_context_code_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is de meshoogte west op A319?"
"38","business","inspection","inspection","inspection_lookup","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wanneer moet de schraper van A319 vervangen worden?"
"39","business",,"","unknown","True","False","0","","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is de forecast voor A319?"
"40","business","inspection","inspection","inspection_trend","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Maak een volledige analyse van A319 met trend, opmerkingen en vervangingen."
"41","business","technical","technical","technical_lookup","False","False","1","technical_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat zegt CEMA over de capaciteit van een transportband?"
"42","business","technical","technical","technical_lookup","False","False","1","technical_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Hoe bereken ik de bandsnelheid?"
"43","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Geef de formule voor het motorvermogen van een transportband."
"44","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Hoe bepaal je de minimale trommeldiameter?"
"45","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Hoe bereken ik het koppel op een aandrijftrommel?"
"46","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Waar moet ik op letten bij lagerkeuze voor een keertrommel?"
"47","business","technical","technical","technical_lookup","False","False","1","technical_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat zegt CEMA over idler spacing?"
"48","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Bereken de capaciteit van een band van 1200 mm bij 2,5 m/s."
"49","business","technical","technical","technical_lookup","False","False","1","technical_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is het effect van een grotere trogrolhoek?"
"50","business","technical","technical","technical_lookup","False","False","1","technical_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Hoe kies ik een trommeldiameter bij een bepaalde bandsterkte?"
"51","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Bereken het benodigde motorvermogen bij 500 tph."
"52","business","technical","technical","technical_lookup","False","False","1","technical_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat zijn de verschillen tussen CEMA en DIN voor transportbandontwerp?"
"53","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat doet temperatuur met de keuze van een transportband?"
"54","business","technical","technical","technical_lookup","False","False","1","technical_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Hoe bepaal je de benodigde bandsterkte?"
"55","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke formule gebruik je voor effectieve bandtrekkracht?"
"56","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke technische eisen gelden voor trommelbekleding?"
"57","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat betekent TIR bij een trommel?"
"58","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat betekent ISO 1940 voor balancering van trommels?"
"59","business","technical","technical","technical_lookup","False","False","1","technical_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Vergelijk de CEMA- en Dunlop-methode voor deze berekening."
"60","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Maak een diepgaande analyse van het benodigde motorvermogen en vergelijk de beschikbare technische bronnen."
"61","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wie is verantwoordelijk voor wifi in Breda?"
"62","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","De printer in Maldegem werkt niet, wie kan helpen?"
"63","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wie is BHV-verantwoordelijke in Breda?"
"64","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Bij wie moet ik mij ziekmelden?"
"65","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wie doet Odoo-support?"
"66","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is het telefoonnummer van Promati Breda?"
"67","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is het adres van Promati Maldegem?"
"68","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat zijn de openingstijden van Promati Breda?"
"69","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Toon het organigram van Promati."
"70","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat zijn de kerntaken van een technicus?"
"71","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke bevoegdheden heeft de VCA-co?rdinator?"
"72","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wie is verantwoordelijk voor documentenbeheer?"
"73","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wie is de contactpersoon voor aankoop?"
"74","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wie is manager van de serviceafdeling?"
"75","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Bij wie moet ik zijn voor laptoptoegang?"
"76","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wie beheert de magazijnsleutels?"
"77","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wie moet ik bellen bij een internetstoring?"
"78","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wie behandelt leverancierscontacten binnen Promati?"
"79","business","org","org","org_lookup","False","False","1","org_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke vestigingen heeft Promati?"
"80","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Vergelijk de verantwoordelijkheden in Breda en Maldegem."
"81","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Zoek RFQ RFQ-2026-001."
"82","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is de status van RFQ RFQ-2026-001?"
"83","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Is RFQ RFQ-2026-001 klaar om naar de leverancier te sturen?"
"84","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke risico's zitten in RFQ RFQ-2026-001?"
"85","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Geef de engineering review van RFQ RFQ-2026-001."
"86","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Toon de timeline van RFQ RFQ-2026-001."
"87","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke leveranciercontext is er bij RFQ RFQ-2026-001?"
"88","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Toon positie 3 van RFQ RFQ-2026-001."
"89","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Zoek vergelijkbare RFQ's voor deze trommel."
"90","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Vergelijk RFQ RFQ-2026-001 met RFQ RFQ-2026-002."
"91","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welk lagertype staat bij positie 2 van RFQ RFQ-2026-001?"
"92","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welk rubbermateriaal is opgegeven in RFQ RFQ-2026-001?"
"93","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke specificaties ontbreken nog in RFQ RFQ-2026-001?"
"94","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke documenten zitten aan RFQ RFQ-2026-001?"
"95","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is uit de tekening van positie 1 gehaald?"
"96","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke levertijd en prijs heeft de leverancier voor RFQ RFQ-2026-001 opgegeven?"
"97","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Geef mij de PDF-link van RFQ RFQ-2026-001 in het Duits."
"98","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Maak een nieuwe RFQ voor een aandrijftrommel."
"99","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Verander de status van RFQ RFQ-2026-001 naar verzonden."
"100","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Verwijder RFQ RFQ-2026-001."
"101","system_meta","diagnostics","diagnostics","diagnostics_overview","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""overview"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""database"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""normal"",""source"":""diagnostics_router""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Geef een systeemdiagnose."
"102","system_meta","diagnostics","diagnostics","diagnostics_overview","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""overview"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""system"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""normal"",""source"":""diagnostics_router""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Hoeveel API-routes zijn geladen?"
"103","system_meta","diagnostics","diagnostics","diagnostics_overview","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""overview"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""database"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""normal"",""source"":""diagnostics_router""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Is de database bereikbaar?"
"104","system_meta","diagnostics","inspection;diagnostics","diagnostics_overview","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""overview"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""inspections"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""normal"",""source"":""diagnostics_router""},""diagnostics_objects"":{""value"":[""vw_meshoogte_latest_per_scraper_clean""],""source"":""diagnostics_object_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Controleer de health van vw_meshoogte_latest_per_scraper_clean."
"105","system_meta","diagnostics","diagnostics","diagnostics_view_dependencies","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""view_dependencies"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""database"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""normal"",""source"":""diagnostics_router""},""diagnostics_objects"":{""value"":[""vw_mes_cycle_analysis_clean""],""source"":""diagnostics_object_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke dependencies heeft vw_mes_cycle_analysis_clean?"
"106","system_meta","diagnostics","inspection;diagnostics","diagnostics_overview","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""overview"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""inspections"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""normal"",""source"":""diagnostics_router""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Diagnoseer de inspectiepipeline."
"107","system_meta","diagnostics","inspection;diagnostics","diagnostics_inspection_lineage","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""inspection_lineage"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""inspections"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""normal"",""source"":""diagnostics_router""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Toon de lineage van de inspectiedata."
"108","system_meta",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Controleer de gezondheid van het assetmodel."
"109","system_meta","diagnostics","diagnostics","diagnostics_cross_source","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""cross_source"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""products"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""deep"",""source"":""diagnostics_router""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Vergelijk RAG, API en SQL voor de productketen."
"110","system_meta","diagnostics","diagnostics","diagnostics_cross_source","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""cross_source"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""org"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""deep"",""source"":""diagnostics_router""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Controleer RAG, API en SQL voor de organisatieketen."
"111","system_meta","diagnostics","diagnostics","diagnostics_sql_deep_dive","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""sql_deep_dive"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""system"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""deep"",""source"":""diagnostics_router""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke routes vallen onder HIGH_RISK_SQL?"
"112","system_meta",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke feature flags zijn momenteel geladen?"
"113","system_meta",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Ontbreekt een van de verplichte kernroutes?"
"114","system_meta","diagnostics","diagnostics","diagnostics_view_definition","False","False","1","diagnostics_assistant","{""diagnostics_mode"":{""value"":""view_definition"",""source"":""diagnostics_router""},""diagnostics_domain"":{""value"":""system"",""source"":""diagnostics_router""},""diagnostics_depth"":{""value"":""normal"",""source"":""diagnostics_router""},""diagnostics_objects"":{""value"":[""vw_band_scraper_api_v1""],""source"":""diagnostics_object_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Controleer de view definition van vw_band_scraper_api_v1."
"115","system_meta","inspection","inspection","inspection_lookup","False","False","1","analysis_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Waarom komen sommige inspectieregels niet in de clean view terecht?"
"116","system_meta","inspection","inspection","inspection_lookup","False","False","1","analysis_assistant","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Zoek mogelijke dubbele inspecties in de pipeline."
"117","system_meta",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Controleer of bandcodes verkeerd worden ge?nterpreteerd."
"118","system_meta",,"","unknown","True","False","0","","{""band_code"":{""value"":""AL5"",""source"":""standalone_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Waarom wordt AL5 als bandcode gezien?"
"119","system_meta",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Controleer waarom de research-agent OpenAI niet aanroept."
"120","system_meta",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Analyseer de volledige route van vraag naar specialist en research."
